title,url,date,description,query
168 4L @LilZaki168 · Feb 28,https://x.com/LilZaki168/status/2027800896558584270,2026-02-28T17:39:43.000Z,Jugando al true skate en el mapa de macba en macba,MACBA skate
Claudia Palma @unaklaudia · Feb 16,https://x.com/unaklaudia/status/2023171263896711394,2026-02-15T23:03:12.000Z,"Consideren como ejemplo al MACBA en Barcelona, especialmente la Plaza de los Ángeles. Su arquitectura minimalista -suelo liso, planos inclinados, y escaleras amplias- lo hizo ideal para el street skate. Galería x dentro, cultura viva x fuera. Resignifiquemos el espacio público.",MACBA skate
HopefulofNFTs @HopefulofNFTs · Feb 6,https://x.com/HopefulofNFTs/status/2019679511802003477,2026-02-06T07:48:14.000Z,"Announcing ""Skate Style,"" a realistic physics-based skateboarding game from Zellah Games (led by ex-Skate City developer Daniel Zeller), featuring dual-analog foot controls for precise tricks and manuals in recreated spots like Barcelona's MACBA.A standout feature is the",MACBA skate
logicgate @thelogicalgate · Feb 6,https://x.com/thelogicalgate/status/2019581309879034109,2026-02-06T01:18:00.000Z,Hey not sure if it was intentional but is there a reason why we can only play Macba in the tutorial and not in free skate after?,MACBA skate
"CIUTAT VILLIN’ @757doofus · Dec 16, 2025",https://x.com/757doofus/status/2000834271045673365,2025-12-16T07:43:58.000Z,Im now the guy that jus shows up to MACBA to skate flatground and do 5050s and im ngl it feels nice.,MACBA skate
"SuifutoRemon @SuifutoRemon · Dec 15, 2025",https://x.com/SuifutoRemon/status/2000519126754685092,2025-12-15T10:51:42.000Z,"Llamar niños a inmigrantes ilegales que lo único que saben hacer es robar.
Le menos delictivo que hacen es ponerse con el skate molestando al resto de transeúntes.
Hace como 10 años fui por la zona del Macba con una amiga de entonces y ya estaba infestado de “amego segarro”.",MACBA skate
"MargaB @MargaBTweet · Nov 21, 2025",https://x.com/MargaBTweet/status/1991705856443060371,2025-11-21T03:10:54.000Z,"Els ""skate"" al MACBA? Deu meu.",MACBA skate
"gigi ★★⁶⁵ @neozstellar · Nov 17, 2025",https://x.com/neozstellar/status/1990349700638355477,2025-11-17T09:22:02.000Z,mv grabado en el skate park del macba,MACBA skate
"gigi ★★⁶⁵ @neozstellar · Nov 6, 2025",https://x.com/neozstellar/status/1986449776980742499,2025-11-06T15:05:07.000Z,el es tan quedamos en el macba para darle al skate pff (se caería),MACBA skate
"David Freeman @F_DaVid_A · Sep 27, 2025",https://x.com/F_DaVid_A/status/1971838499478556947,2025-09-27T07:25:07.000Z,"Mira el hilo, subnormal. He mamado Raval desde los 18 y a todos los niveles. Comía cada semana en El Fidel, he cerrado el Manchester de Joaquim muchas veces, tengo medio armario del Flamingos y me pasaba tardes enteras con el skate en el Macba...",MACBA skate
"Orangegrass @Orangegrass3 · Sep 26, 2025",https://x.com/Orangegrass3/status/1971587105274069453,2025-09-26T14:46:10.000Z,Tenim l'skate park més car del món: el MACBA.,MACBA skate
"Ministylo @ministylo89 · Sep 26, 2025",https://x.com/ministylo89/status/1971525611559731663,2025-09-26T10:41:49.000Z,Skate. no tiene errores de conexión. Esta en modo MACBA predeterminado,MACBA skate
"kedicestio @UrLocalLoy · Sep 2, 2025",https://x.com/UrLocalLoy/status/1962984900723929520,2025-09-02T21:04:05.000Z,dale un cigarro y un skate y está garchomo spawnea por macba tirándole a menores,MACBA skate
"MR.GAUGHTER @MRGAUGHTER · Sep 2, 2025",https://x.com/MRGAUGHTER/status/1962975327644483865,2025-09-02T20:26:03.000Z,Funny I got robbed in Barcelona but I’m a true skater since 2012 and Damm right I’m going back 2026 I’ll be back in Barcelona baby and I will be skating Macba !!!! Best skate spot in the fucking world !!!!!,MACBA skate
"Paul @arpeegee · Sep 2, 2025",https://x.com/arpeegee/status/1962855916581036340,2025-09-02T12:31:33.000Z,one thing I like more as a skating teenager in THPS rather than Skate was the locations. You get to travel in these games. If you could cram Macba/Carlsbad/Trocadéro/NYC banks/Venice/Bangkok... in one game it'd be very cool,MACBA skate
"Marc G @MarcG1858245377 · Aug 23, 2025",https://x.com/MarcG1858245377/status/1959166447608848723,2025-08-23T08:10:55.000Z,"Tenen la plaça dels Àngels però allò no ho tocaran perquè quatre guiris pijos facin el merda amb la skate  i els quatre paràsits del Macba fassin de artista, però que has de saber tu que no saps ni on para el Raval",MACBA skate
"chakib @farfadetsombre · Jul 23, 2025",https://x.com/farfadetsombre/status/1948056226983776271,2025-07-23T16:22:52.000Z,Rien à foutre j’achète une planche faut ABSOLUMENT que je skate à Macba une fois ds ma vie #enfin #contratbakersoon,MACBA skate
"MorcillaDel @del_morcilla · Jul 10, 2025",https://x.com/del_morcilla/status/1943417578270933425,2025-07-10T21:10:32.000Z,I played a game of skate against J.Thomas at Macba and I was getting him to the ropes and then he said he was going to skate other spots with the team. Another time Papalardo confused me with P.J.Ladd at Paralel lol me and my bruh were tripping balls over it,MACBA skate
"CIUTAT VILLIN’ @757doofus · Jun 1, 2025",https://x.com/757doofus/status/1929149702819213487,2025-06-01T12:15:05.000Z,Macba getting easier to skate. I feel good about this.,MACBA skate
"CryptHauss @PierreH2S · May 13, 2025",https://x.com/PierreH2S/status/1922051790914175002,2025-05-12T22:10:31.000Z,Ce sont des skater Français au spot de skate MACBA,MACBA skate
"@pubcsb · May 12, 2025",https://x.com/pubcsb/status/1922045317316214982,2025-05-12T21:44:48.000Z,Macba a Barcelone spot de skate,MACBA skate
