title,url,date,description,query
168 4L @LilZaki168 · Feb 28,https://x.com/LilZaki168/status/2027800896558584270,2026-02-28T17:39:43.000Z,Jugando al true skate en el mapa de macba en macba,MACBA skate [top]
Spica @CasseCool · Feb 7,https://x.com/CasseCool/status/2019996838376489369,2026-02-07T04:49:10.000Z,"スイス出身の元フィギュアスケーター、Michaela Scalisi

競技引退から10年ぶりにスケート靴を履き、2021年から自然の凍った湖・河川で滑るWild Ice Skaterとして復活
瞬く間にインフルエンサーに

Michaela Carrotを名乗る赤髪がトレードマーク

https://
isu.org/news/wild-ice-
skater-michaela-carrot-glides-into-world-ice-skating-day-celebrations/
…",MACBA skate [top]
"Henry de Laguérie @henrydelaguerie · Feb 28, 2025",https://x.com/henrydelaguerie/status/1895376095475835089,2025-02-28T07:30:50.000Z,"La Mecque mondiale du skate, la place du MACBA à Barcelone est menacée de disparition avec l’agrandissement du musée. Les skateurs se mobilisent contre le projet de la mairie. Certains ont fait le déplacement de France pour l’occasion #SaveMacba",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · May 30, 2024",https://x.com/SkateClipsOnX/status/1796126657667125540,2024-05-30T10:29:00.000Z,Santiago Rodriguez at MacBa  Ismael Rial,MACBA skate [top]
"btv notícies @btvnoticies · Feb 24, 2025",https://x.com/btvnoticies/status/1894129674868924701,2025-02-24T20:58:00.000Z,"Les obres de la plaça del MACBA en canviaran la fisonomia.

Bastien Salabansi, ""skater"" professional i excampió del món, assegura que “destruir aquest espai és com destruir la Torre Eiffel”

 
https://
beteve.cat/esports/bastie
n-salabanzi-excampio-skate-street-destruir-placa-macba-es-com-destruir-torre-eiffel/
…",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · May 16, 2023",https://x.com/SkateClipsOnX/status/1658505675708809216,2023-05-16T16:12:21.000Z,"Kickflip bs nosebluntslide at MacBa  by 
@Trentmcclung",MACBA skate [top]
BonesBrigade @BonesBrigadeDoc · 39m,https://x.com/BonesBrigadeDoc/status/2028530753051693128,2026-03-02T17:59:54.000Z,"Bones Brigade Limited Fine Art Series

@stevecaballero
 x Moetallica

https://
skateone.com/bones-brigade-
moetallica-limited-fine-art-series-steve-caballero-bearing-dragon-custom-deck
…
 
Through a meticulous, hand-crafted process, we’ve faithfully recreated Moe's signature spray style on our skateboard decks. Each piece is handmade, exclusive, and truly one of a kind.",MACBA skate [top]
"bàsics @basicsbtv · Feb 24, 2025",https://x.com/basicsbtv/status/1894099259378868475,2025-02-24T18:57:08.000Z,"Les obres d'ampliació del MACBA ja estan en marxa.

 Els patinadors alerten que s'està destruint ""la meca europea de l''skate'""

 
http://
beteve.cat/en-directe/",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Apr 10, 2023",https://x.com/SkateClipsOnX/status/1645491349964161028,2023-04-10T18:18:04.000Z,Ivan Monteiro  with a couple variations of a tech trick at MacBA,MACBA skate [top]
"Oyabun @KakarotoOyabun · Dec 9, 2023",https://x.com/KakarotoOyabun/status/1733279815917301888,2023-12-09T00:18:05.000Z,"Qdo o Skate era maloca, as piadas eram engraçadas, o prensado era servido, as garotas eram legais e o mundo era menos complicado.

 #sk8 #trasher #macba #skatelife #skateboard #skatelife #skate #zero #n64 #baker3 #2000s #adio #dcshoes #tonyhawk",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Jan 30, 2023",https://x.com/SkateClipsOnX/status/1620154772774088704,2023-01-30T20:19:33.000Z,Fran Molina #BacksideTailslide at #MacBa  #bsts,MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Feb 21, 2023",https://x.com/SkateClipsOnX/status/1628095579057168387,2023-02-21T18:13:29.000Z,Kevin Tshala at #MacBa #skatebaording #skateTwitter,MACBA skate [top]
"chaymarx @chayymarx_ · Feb 9, 2025",https://x.com/chayymarx_/status/1888620618595061922,2025-02-09T16:06:59.000Z,"loko hetero                                                        

/               

loko bi moderno que hace skate en macba",MACBA skate [top]
"éS Skateboarding  @eSskateboarding · Jun 14, 2024",https://x.com/eSskateboarding/status/1801375264460685545,2024-06-13T22:05:05.000Z,"2 9 8 

@flomarfaing at Macba in the #eS_298 available at the best skate shops worldwide

 @miamarieskateboards",MACBA skate [top]
"Skate Slop @SkateSlop · Nov 23, 2024",https://x.com/SkateSlop/status/1860119950813179982,2024-11-23T00:35:30.000Z,"Josh Kalis breaks down Barcelona’s skate scene—MACBA’s for tourists, Sants is for locals. Rolling up on “GO HOME” graffiti, he earned the locals’ respect and tore it up. Watch this raw plaza session and feel the culture. #PlazaSkating #MACBA #SantsPlaza #JoshKalis #SkateSlop",MACBA skate [top]
"btv notícies @btvnoticies · Feb 24, 2025",https://x.com/btvnoticies/status/1894009130777530567,2025-02-24T12:59:00.000Z,"Bastien Salabanzi, excampió del món de “skate”: “Destruir la plaça del MACBA és com destruir la Torre Eiffel”",MACBA skate [top]
"kedicestio @UrLocalLoy · Sep 2, 2025",https://x.com/UrLocalLoy/status/1962984900723929520,2025-09-02T21:04:05.000Z,dale un cigarro y un skate y está garchomo spawnea por macba tirándole a menores,MACBA skate [top]
"пиdораs @ok_Danka · Dec 5, 2024",https://x.com/ok_Danka/status/1864630913503490549,2024-12-05T11:20:27.000Z,"Bkak hokey/figure skating au comic 
1-4  
#bkak #BokuAka #Haikyuu",MACBA skate [top]
"Àlex Calatrava @alexcalatravaa · Feb 3, 2025",https://x.com/alexcalatravaa/status/1886527801693524209,2025-02-03T21:30:52.000Z,"(4/7) En Jordi patina a la plaça des de fa alguns anys. Per a ell, l'skate és molt important. Creu que l'ampliació del MACBA, que acabarà amb part de la plaça, és un error per a la ciutat.",MACBA skate [top]
HopefulofNFTs @HopefulofNFTs · Feb 6,https://x.com/HopefulofNFTs/status/2019679511802003477,2026-02-06T07:48:14.000Z,"Announcing ""Skate Style,"" a realistic physics-based skateboarding game from Zellah Games (led by ex-Skate City developer Daniel Zeller), featuring dual-analog foot controls for precise tricks and manuals in recreated spots like Barcelona's MACBA.A standout feature is the",MACBA skate [top]
"bueno @buenoHQ · May 23, 2023",https://x.com/buenoHQ/status/1661010606206623744,2023-05-23T14:06:03.000Z,"✧ Weightless ✧ By 
@CLinepannetier
 

Celine is a French street photographer based in Barcelona. ‘Weightless’ captures a candid shot of a skateboarder at Macba Museum, a legendary skate spot worldwide.

✧ Limted Edition
✧ 0.025 ETH
✧ Collect: 
http://
bueno.art/celine-panneti
er/streets/tokens
…",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Mar 7, 2023",https://x.com/SkateClipsOnX/status/1633187601766023168,2023-03-07T19:27:22.000Z,#FakieFlip #MacBa,MACBA skate [top]
"El Cuñado @Leosoki · Feb 26, 2025",https://x.com/Leosoki/status/1894883197588230504,2025-02-26T22:52:14.000Z,"SAVE MACBA 
https://
chng.it/tbKJWgzG via 
@change_es
 #sk8 #skateboarding #art #architecture #skate #MACBA",MACBA skate [top]
"franceinfo @franceinfo · Mar 4, 2025",https://x.com/franceinfo/status/1896947826996683144,2025-03-04T15:36:20.000Z,"""Le centre du monde du skate"" : la place du MACBA, à Barcelone, risque de disparaître",MACBA skate [top]
"MR.GAUGHTER @MRGAUGHTER · Sep 2, 2025",https://x.com/MRGAUGHTER/status/1962975327644483865,2025-09-02T20:26:03.000Z,Funny I got robbed in Barcelona but I’m a true skater since 2012 and Damm right I’m going back 2026 I’ll be back in Barcelona baby and I will be skating Macba !!!! Best skate spot in the fucking world !!!!!,MACBA skate [top]
"CIUTAT VILLIN’ @757doofus · Jun 1, 2025",https://x.com/757doofus/status/1929149702819213487,2025-06-01T12:15:05.000Z,Macba getting easier to skate. I feel good about this.,MACBA skate [top]
Claudia Palma @unaklaudia · Feb 16,https://x.com/unaklaudia/status/2023171263896711394,2026-02-15T23:03:12.000Z,"Consideren como ejemplo al MACBA en Barcelona, especialmente la Plaza de los Ángeles. Su arquitectura minimalista -suelo liso, planos inclinados, y escaleras amplias- lo hizo ideal para el street skate. Galería x dentro, cultura viva x fuera. Resignifiquemos el espacio público.",MACBA skate [top]
